,index,full_sentence_,cloze_probability_,dataset_,CoRT_mean,CoRT_std
0,10,A good combination of flavors can be sweet and sour,0.51,peele,1.0,0.0
1,128,After the dog ate the trash he began to vomit,0.58,peele,5.0,0.0
2,193,"Among other things, vegetarians do not eat meat",0.7,peele,1.0,0.0
3,281,Be careful not to touch the pan when it's hot,0.99,peele,1.0,0.0
4,309,Being a father and a businessman made his role difficult,0.31,peele,1.0,0.0
5,467,During the battle all of the sailors fled the ship,0.37,peele,5.0,0.0
6,580,"For many people, textbooks are a good learning tool",0.76,peele,1.0,0.0
7,604,"Gaby disliked spinach, a veggie she claimed she'd always hated",0.7,peele,1.0,0.0
8,748,I could not remember his name,0.92,block_baldwin,1.0,0.0
9,762,"If Phil decides to cook dinner, then cook he will",0.61,peele,1.0,0.0
10,822,Instead of dressing I prefer vinegar and oil,0.76,block_baldwin,1.0,0.0
11,833,It is painful to have diseases like cancer,0.36,peele,1.0,0.0
12,938,Karen put the grilled hamburger on a brioche bun,0.74,peele,5.0,0.0
13,984,Lois is taller than most girls,0.35,block_baldwin,1.0,0.0
14,1070,Mrcoach,0.43,peele,1.0,0.0
15,1146,One must take time out of every day to relax,0.36,peele,1.0,0.0
16,1184,Pure memorization may not be great method to learn,0.63,peele,1.0,0.0
17,1195,Religions vary widely in their conception of god,0.52,peele,1.0,0.0
18,1196,"Respect, riches, and fame were what the knight wanted",0.41,peele,1.0,0.0
19,1226,Sam does not like desserts that are too sweet,0.86,peele,1.0,0.0
20,1247,Sharon majored in Education to learn how to teach,0.95,peele,1.0,0.0
21,1330,Some people won't eat lemons because they are too sour,0.75,peele,1.0,0.0
22,1375,The British businessman was the wealthiest in the whole country,0.36,peele,1.0,0.0
23,1506,The car door hit Steven's face right in the nose,0.62,peele,5.0,0.0
24,1673,The expensive tie was made of silk,0.89,block_baldwin,1.0,0.0
25,1748,The gas station is about two miles down the road,0.88,block_baldwin,1.0,0.0
26,1803,The hungry baby scrunched its face and started to cry,0.74,peele,5.0,0.0
27,1865,The lecture should last about one hour,0.91,block_baldwin,1.0,0.0
28,1954,The new accusations cast a lot of doubt,0.74,peele,1.0,0.0
29,2038,The rambunctious dog pulled and tugged against the leash,0.49,peele,5.0,0.0
30,2049,The restaurants on the west end were very expensive,0.44,peele,1.0,0.0
31,2106,The snow was high on the mountain’s peak,0.65,block_baldwin,1.0,0.0
32,2124,The startled swimmer screamed when she saw the shark fin,0.4,peele,5.0,0.0
33,2125,The state park was popular for its long trails,0.52,block_baldwin,1.0,0.0
34,2169,The tennis player won the match with a high score,0.62,peele,1.0,0.0
35,2220,The vacuum's defects affected its ability to clean,0.38,peele,1.0,0.0
36,2264,The woman’s shirt was so worn it had a hole,0.86,block_baldwin,1.0,0.0
37,2293,There were hundreds of bees buzzing around the hive,0.68,peele,5.0,0.0
38,2447,Too many men are out of  work,0.26,block_baldwin,1.0,0.0
39,192,American Presidents are limited to serving a period of eight    years,0.84,block_baldwin,1.1428571428571428,0.3779644730092272
40,341,Bradley prefers cats over dogs,0.91,block_baldwin,1.1428571428571428,0.3779644730092272
41,1459,The book was a steal at such a low  price,0.89,block_baldwin,1.1428571428571428,0.3779644730092272
42,1514,The castle was protected by its stone walls,0.86,block_baldwin,1.1428571428571428,0.3779644730092272
43,1591,The crime rate has gone up this year,0.81,block_baldwin,1.1428571428571428,0.3779644730092272
44,1,A Dalmatian dog is recognized by its black and white spots,0.84,block_baldwin,1.1666666666666667,0.408248290463863
45,39,"After a busy week, I just want to relax",0.53,peele,1.1666666666666667,0.408248290463863
46,711,Her dress was made of a very fine silk,0.6,block_baldwin,1.1666666666666667,0.408248290463863
47,761,If Frieda gets bad news she will probably cry,0.53,peele,1.8333333333333333,0.408248290463863
48,889,Jen's love for children and school convinced her to teach,0.89,peele,1.1666666666666667,0.408248290463863
49,899,Jessica went to the treadmill and started to slowly walk,0.6,peele,4.833333333333333,0.408248290463863
50,1164,Pam needs a new doorbell because hers doesn't work,0.9,peele,1.1666666666666667,0.408248290463863
51,1209,"Roger couldn't whistle yet, as he was just a baby",0.33,peele,1.1666666666666667,0.408248290463863
52,1259,She did not have the right key for the  lock,0.44,block_baldwin,1.1666666666666667,0.408248290463863
53,1282,She only hosted the event to save money,0.56,peele,1.1666666666666667,0.408248290463863
54,1302,She went to bed because she was tired,0.72,block_baldwin,4.166666666666667,0.408248290463863
55,1328,Some people have never had a square meal,0.24,block_baldwin,1.1666666666666667,0.408248290463863
56,1518,The cheerleaders were part of the popular crowd,0.48,block_baldwin,1.1666666666666667,0.408248290463863
57,1778,The gym class knew the rope would be a  task,0.26,block_baldwin,1.1666666666666667,0.408248290463863
58,2054,The river ended three hundred miles from its mouth,0.43,block_baldwin,1.1666666666666667,0.408248290463863
59,2423,To relax herself she liked to listen to smooth jazz,0.47,block_baldwin,1.8333333333333333,0.408248290463863
60,2477,Weddings bring out excitement and general feelings of joy,0.34,peele,1.1666666666666667,0.408248290463863
61,1158,Out of the brown egg hatched a tiny yellow chick,0.71,peele,4.833333333333333,0.40824829046386313
62,1495,The burglar took the purse and quickly turned to run,0.73,peele,4.833333333333333,0.40824829046386313
63,104,"After returning home, Sharon hung her jacket on the hook",0.43,peele,4.8,0.44721359549995787
64,105,"After returning to his bedroom, the monk removed his robe",0.5,peele,4.8,0.44721359549995787
65,111,After she bought the dress she ripped off its tag,0.81,peele,4.8,0.44721359549995787
66,228,As he left the insulted man made a gesture,0.4,peele,4.8,0.44721359549995787
67,550,Everyone on the cruise gasped and pointed out the massive whale,0.49,peele,4.8,0.44721359549995787
68,551,Everyone ran from the man like he was a monster,0.31,peele,4.8,0.44721359549995787
69,693,He wouldn't jump so his sister gave him a push,0.52,peele,4.2,0.44721359549995787
70,770,"In class, Paula took out her notebook and wrote",0.42,peele,4.8,0.44721359549995787
71,826,Isaac ran to the water cooler and filled his cup,0.36,peele,4.8,0.44721359549995787
72,968,Laura jumped up and shouted after burning her hand,0.56,peele,4.8,0.44721359549995787
73,1007,Marcus struggled to build a birdhouse even with the instructions,0.39,peele,4.8,0.44721359549995787
74,1140,"Once he heard the bad news, Mark's face became red",0.32,peele,4.8,0.44721359549995787
75,1143,"Once the cake was unattended, the dog took a bite",0.92,peele,4.8,0.44721359549995787
76,1651,The earthquake made the photos fall off the wall,0.68,peele,4.8,0.44721359549995787
77,1738,The frightened children ran from the growling dog,0.76,peele,4.8,0.44721359549995787
78,2046,The reckless driver drove too quickly around the corner,0.42,peele,4.2,0.44721359549995787
79,2228,The waitress wiped the table with a damp cloth,0.76,peele,4.2,0.44721359549995787
80,2515,When he fled the stage the crowd began to boo,0.53,peele,4.8,0.44721359549995787
81,188,"Always full of energy, Wilson never seemed to tire",0.51,peele,1.2,0.4472135954999579
82,316,"Beth hasn't figure out the solution, but Martha has",0.72,peele,1.2,0.4472135954999579
83,374,Chocolate is made from the roasted cacao bean,0.84,peele,1.8,0.4472135954999579
84,416,Dean dropped the cookies and had to make a fresh batch,0.95,peele,4.8,0.4472135954999579
85,558,Experts could not give Amy the answers she wanted,0.58,peele,1.2,0.4472135954999579
86,700,Helen removed the paint from her face with a cloth,0.33,peele,4.8,0.4472135954999579
87,744,His worst fear was that the spectators would boo,0.36,peele,1.2,0.4472135954999579
88,937,Karen lost lots of money after losing a foolish bet,0.97,peele,1.8,0.4472135954999579
89,947,Katie didn't know who the present was for,0.72,peele,1.2,0.4472135954999579
90,1022,Mary missed Ellen's birthday party because she was sick,0.62,peele,1.8,0.4472135954999579
91,1031,May thought her leg was taking too long to heal,0.9,peele,1.2,0.4472135954999579
92,1215,"Running low on cookies, the bakery needed a new batch",0.54,peele,1.8,0.4472135954999579
93,1222,Sally heard that our new teacher was impossible to please,0.48,peele,1.2,0.4472135954999579
94,1277,She loved ice cream when she was a tiny girl,0.54,peele,1.2,0.4472135954999579
95,1468,The boy cried when he hurt his knee after the fall,0.71,peele,4.8,0.4472135954999579
96,1553,The color of the shirt's fabric was a beautiful blue,0.35,peele,1.2,0.4472135954999579
97,1647,The driver was concerned about the heavy load,0.36,peele,1.2,0.4472135954999579
98,2083,The score of the championship tennis match was tied,0.59,peele,1.2,0.4472135954999579
99,2224,The villagers had never ventured out of the village,0.32,peele,1.2,0.4472135954999579
100,2284,Their water source on the farm was the old well,0.89,peele,1.2,0.4472135954999579
101,2304,They didn't agree with the concepts the school taught,0.48,peele,1.2,0.4472135954999579
102,2320,They needed to add more honey to the tea,0.34,peele,1.8,0.4472135954999579
103,2388,To get the garden started one can use seeds,0.32,peele,1.8,0.4472135954999579
104,2427,"To stay fit, Jim participates in a basketball game",0.42,peele,4.2,0.4472135954999579
105,2538,When she retired the CEO would live on a pension,0.38,peele,1.2,0.4472135954999579
106,929,Juice spilled when the baby knocked over the cup,0.54,peele,4.8,0.44721359549995804
107,1047,Mike exited the shower and quickly put on his robe,0.44,peele,4.8,0.44721359549995804
108,2243,The woman applied concealer with a gentle touch,0.35,peele,4.8,0.44721359549995804
109,506,"Ellen enjoys poetry, painting, and other forms of art",0.94,block_baldwin,1.2857142857142858,0.48795003647426655
110,658,He hoped his grumpy teen was just going through a  phase,0.77,block_baldwin,1.2857142857142858,0.4879500364742666
111,1243,Several hours into his shift Lyle was ready for a break,0.78,block_baldwin,1.7142857142857142,0.4879500364742666
112,1757,The girl knew a lot for her age,0.8,block_baldwin,1.2857142857142858,0.4879500364742666
113,2020,The princess was only permitted to marry a prince,0.9,block_baldwin,1.2857142857142858,0.4879500364742666
114,1504,The candles smelled even better when they were lit,0.87,block_baldwin,1.7142857142857142,0.48795003647426666
115,107,"After saying goodbye, Tim gave his wife a quick kiss",0.84,peele,4.75,0.4999999999999999
116,622,Greg clutched his queasy stomach and began to vomit,0.47,peele,4.75,0.4999999999999999
117,640,He blew out his cigarette smoke in a small puff,0.34,peele,4.75,0.4999999999999999
118,657,He heard a noise at midnight and grabbed his gun,0.67,peele,4.75,0.4999999999999999
119,1029,Matt topped the nachos with cheddar cheese and shredded lettuce,0.38,peele,4.75,0.4999999999999999
120,1242,Several girls fought over the store's last remaining dresses,0.33,peele,4.75,0.4999999999999999
121,1505,The captain steered the ship and narrowly avoided the iceberg,0.34,peele,4.75,0.4999999999999999
122,1754,The girl got in trouble trying to pass a note,0.52,peele,4.25,0.4999999999999999
123,1802,The huge monster thundered away with a roar,0.41,peele,4.75,0.4999999999999999
124,1838,The kids ran through the sprinklers on the front lawn,0.89,peele,4.75,0.4999999999999999
125,1915,The matador ran when the bull began to charge,0.69,block_baldwin,4.75,0.4999999999999999
126,1948,The musician plucked at the strings of his flatguitar,0.7,peele,4.75,0.4999999999999999
127,2001,The pirates escaped with a large bag of gold,0.44,peele,4.75,0.4999999999999999
128,2120,The squirrel dashed by in order to bury a nut,0.77,peele,4.75,0.4999999999999999
129,2172,The thief ran away after taking the woman's purse,0.9,peele,4.75,0.4999999999999999
130,2191,The town flooded after a leak in the dam,0.56,peele,4.25,0.4999999999999999
131,2547,"When the building came down, there was a loud crash",0.49,peele,4.25,0.4999999999999999
132,102,"After receiving a treat, the dog's tail began to wag",0.98,peele,4.25,0.5
133,117,"After stubbing her toe, the woman let slip a curse",0.37,peele,4.25,0.5
134,310,Ben cleaned out his blocked sinuses with a saline solution,0.57,peele,4.25,0.5
135,362,Casey didn't go to the movie theater alone,0.45,peele,1.25,0.5
136,370,Charles knew that the woman was out of his league,0.82,peele,1.25,0.5
137,446,Drake didn't like eating barbecued meat because of the taste,0.37,peele,1.75,0.5
138,535,"Every morning, Liz would carefully brush her hair",0.64,peele,4.25,0.5
139,601,"Frustrated with his teammates, Julian stormed off in a huff",0.62,peele,4.25,0.5
140,648,He crept into the room without a sound,0.7,block_baldwin,4.25,0.5
141,688,He was so silly the kids called him a clown,0.66,peele,1.25,0.5
142,697,Heather's young kids were only one and three,0.47,peele,1.25,0.5
143,757,Ian's favorite pie was either apple or cherry,0.43,peele,1.25,0.5
144,814,"In woodshop, Alex smoothed the baseball bat with the sander",0.32,peele,4.75,0.5
145,819,"Instead of buying a new phone, Shannon replaced the battery",0.36,peele,4.25,0.5
146,825,Isaac didn't know what her behavior could mean,0.48,peele,1.25,0.5
147,831,It is important for swimmers to learn how to float,0.34,peele,1.25,0.5
148,835,It seemed like the accident shook her to the core,0.84,peele,1.25,0.5
149,839,It was announced the  two companies would merge,0.96,peele,1.25,0.5
150,849,It was too windy so Jen reeled in her kite,0.45,peele,4.75,0.5
151,903,Jill is frustrated by people who are always late,0.73,peele,1.75,0.5
152,905,Jim convinced her that it was a bad prank to pull,0.43,peele,1.75,0.5
153,965,Larry's motto was always do what you want,0.5,peele,1.25,0.5
154,970,Lee wouldn't get allowance if she didn't finish her chores,0.67,peele,1.25,0.5
155,995,Malcolm wanted to tidy the lawn but had no mower,0.33,peele,1.75,0.5
156,1000,Many people don't recycle even though they should,0.79,peele,1.25,0.5
157,1009,Marie pulled out the clothes she wanted to wear,0.76,peele,1.75,0.5
158,1023,Mary was upset she spilled coffee on her favorite blouse,0.35,peele,4.75,0.5
159,1093,Nina had no confidence and always expected to fail,0.63,peele,1.25,0.5
160,1159,"Over the summer, Tyler wanted something to do",0.77,peele,1.25,0.5
161,1193,Rebecca was gullible but she was not stupid,0.72,peele,1.75,0.5
162,1249,She adores rain but doesn't at all like snow,0.42,peele,1.75,0.5
163,1309,Shelly wanted to be a scientist working at a lab,0.72,peele,1.25,0.5
164,1326,Some people don't enjoy food and only eat to survive,0.38,peele,1.75,0.5
165,1390,The actress rolled her eyes and left in a huff,0.58,peele,4.75,0.5
166,1456,The boat sailed faster after tightly pulling in the sail,0.5,peele,4.75,0.5
167,1493,The building isn't for sale but it's available to rent,0.81,peele,1.25,0.5
168,1540,The children spent hours at the beach making a castle,0.62,peele,4.75,0.5
169,1550,The college student looked for a summer job,0.76,peele,1.75,0.5
170,1560,The company said they were looking to hire,0.37,peele,1.25,0.5
171,1562,The competitive students were always afraid to lose,0.65,peele,1.25,0.5
172,1564,The confident man believed he was right without a doubt,0.49,peele,1.75,0.5
173,1573,The cop entered the building and showed his badge,0.92,peele,4.25,0.5
174,1579,The couple realized they needed new crystal glasses,0.36,peele,1.25,0.5
175,1619,The details surrounding the crime were extremely vague,0.4,peele,1.25,0.5
176,1658,The email offer for a free car was a scam,0.67,peele,1.25,0.5
177,1777,The guilty children fled to avoid their mother's wrath,0.59,peele,4.25,0.5
178,1832,The key to a great burger is good quality meat,0.55,peele,1.75,0.5
179,1902,The man read a book while his wife slept,0.35,peele,1.25,0.5
180,1933,The mother had included each child in her will,0.77,peele,1.25,0.5
181,1969,The officer barged in and quickly flashed his badge,0.81,peele,4.75,0.5
182,1994,The phone call about a free cruise was a scam,0.64,peele,1.75,0.5
183,2042,The range of options on the menu was very limited,0.49,peele,1.75,0.5
184,2080,The scared girl ran upstairs to her bedroom and hid,0.61,peele,4.75,0.5
185,2116,The soup was extremely hot and burned Matt's tongue,0.74,peele,4.75,0.5
186,2140,The student discussed his research proposal with his professor,0.45,peele,1.75,0.5
187,2145,The sugar content in Ivy's cake was too high,0.63,peele,1.25,0.5
188,2326,They threw eggs at Barry but he knew to duck,0.75,peele,4.75,0.5
189,2355,Timothy was hesitant when he had to make a decision,0.4,peele,1.25,0.5
190,2403,"To learn responsibility, each child should have a chore",0.51,peele,1.25,0.5
191,2504,When at the fair her kids always have great times,0.45,peele,1.75,0.5
192,2570,"When travelling, tourists like to carry items in a bag",0.48,peele,1.75,0.5
193,2628,You should always read it over before signing a contract,0.8,peele,1.25,0.5
194,1884,The little puppy outside the house started to bark,0.36,peele,4.333333333333333,0.5163977794943221
195,76,After his episode everyone thought the man was crazy,0.54,peele,1.6666666666666667,0.5163977794943222
196,887,Jeff felt like he would never finish at that pace,0.45,peele,1.3333333333333333,0.5163977794943222
197,1432,The baseball player’s cap protected him from the sun,0.74,block_baldwin,1.3333333333333333,0.5163977794943222
198,2408,To move quickly through the crowd he began to run,0.42,peele,4.333333333333333,0.5163977794943222
199,71,"After getting hit by the ball, Tyler started to cry",0.71,peele,4.666666666666667,0.5163977794943223
200,579,For his interview Mr. Jones needed a new suit,0.72,block_baldwin,1.3333333333333333,0.5163977794943223
201,636,Harrison didn't want to clip the wings of his bird,0.71,peele,1.3333333333333333,0.5163977794943223
202,649,He didn't like the puppies because they would always bark,0.49,peele,1.6666666666666667,0.5163977794943223
203,710,Her disease created some difficulties but she could manage,0.46,peele,1.3333333333333333,0.5163977794943223
204,928,Judith went to college to learn how to teach,0.42,peele,1.6666666666666667,0.5163977794943223
205,958,Kids don't like that particular fruit because it's sour,0.44,peele,1.3333333333333333,0.5163977794943223
206,1014,Marlena thought Jack's behavior was out of control,0.38,peele,1.3333333333333333,0.5163977794943223
207,1021,Mary liked sewing a lot but needed a new machine,0.51,peele,1.3333333333333333,0.5163977794943223
