,full_sentence,last_word,word1,word2,answer,CoRT_descript,cloze_descript,cloze_probability,block_num,randomise_blocks,iti_dur_ms,display,break,cause_effect,dynamic_verb,orientation,negative,tense,spelling_modified,index,dataset,CoRT_mean,CoRT_std,target_word,random_word,word_count,condition_name,sampled,hand,iti_dur,start_time,trial_dur,ShowProgressBar,trial_dur_ms
0,,,,,,,,,,,,general instructions,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,cort instructions,,,,,,,,,,,,,,,,,,,,,,
1,She|made|herself|a|sandwich|and|chips|for,lunch,,,TRUE,CoRT,high cloze,0.9,0,,500,cort trial,,no,yes,person,no,past,no,1,block_baldwin,4.142857143,1.214985793,lunch,smell,8,easy,FALSE,right,0.5,0,7,1,7000
2,Timothy|was|hesitant|when|he|had|to|make|a,decision,,,TRUE,CoRT,low cloze,0.4,0,,500,cort trial,,no,yes,person,no,past,no,0,peele,1.25,0.5,decision,heat,9,hard,FALSE,right,0.5,157.5,7,1,7000
3,The|teacher|wrote|the|problem|on|the,game,,,FALSE,CoRT,high cloze,0.94,0,,500,cort trial,,no,yes,person,no,present,no,9,block_baldwin,4.142857143,1.463850109,board,game,7,easy,TRUE,right,0.5,30,7,1,7000
0,,,,,,,,,,,,non-cort instructions 1,,,,,,,,,,,,,,,,,,,,,,
1,The|castle|was|protected|by|its|stone,walls,brick,pie,word1,non-CoRT,high cloze,0.86,0,,500,non-cort trial,,no,no,object,no,past,no,0,block_baldwin,1.142857143,0.377964473,walls,tire,7,easy,TRUE,right,0.5,270,7,1,7000
2,He|loosened|the|tie|around|his,neck,cry,back,word2,non-CoRT,low cloze,0.41,0,,500,non-cort trial,,yes,yes,group,no,past,yes,4,peele,4,1.154700538,trail,dress,7,hard,FALSE,right,0.5,172.5,7,1,7000
3,"When|it's|warm|out,|Jack|likes|going|to|the",beach,ocean,lemon,word1,non-CoRT,low cloze,0.32,0,,500,non-cort trial,,no,no,object,no,past,no,33,peele,1.8,1.095445115,hoop,curse,7,hard,FALSE,right,0.5,412.5,7,1,7000
0,,,,,,,,,,,,non-cort instructions 2,,,,,,,,,,,,,,,,,,,,,,
1,"Before|descending|the|canyon,|we|hiked|the",trail,kiss,mountain,word2,non-CoRT,low cloze,0.41,0,,500,non-cort trial,,yes,yes,group,no,past,yes,4,peele,4,1.154700538,trail,dress,7,hard,FALSE,right,0.5,172.5,7,1,7000
2,The|woman's|earring|was|a|small|silver,hoop,jewelry,dog,word1,non-CoRT,low cloze,0.32,0,,500,non-cort trial,,no,no,object,no,past,no,33,peele,1.8,1.095445115,hoop,curse,7,hard,FALSE,right,0.5,412.5,7,1,7000
3,"To|finish|seasoning|the|salmon,|Marge|needed",salt,cook,boxer,word1,non-CoRT,,,0,,500,non-cort trial,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,non-cort instructions 1,,,,,,,,,,,,,,,,,,,,,,
1,germs|company|boat|pink|the|basketball|cookie,casino,rain,gamble,word2,non-CoRT,high cloze,0.92,0,,500,non-cort trial,,no,yes,person,no,past,no,0,peele,1.8,1.303840481,sick,mutt,8,easy,TRUE,right,0.5,270,7,1,7000
2,kiss|glass|car|two|smoke|fun|holiday|famous,red,fool,blue,word2,non-CoRT,high cloze,0.87,0,,500,non-cort trial,,no,yes,person,yes,past,no,1,peele,4,0,peck,water,9,easy,TRUE,right,0.5,0,7,1,7000
3,book|earthquake|water|professional|a|Jacob,stairs,house,bake,word1,non-CoRT,low cloze,0.38,0,,500,non-cort trial,,no,no,person,no,past,no,2,peele,2,1,rub,tent,8,hard,FALSE,right,0.5,375,7,1,7000
0,,,,,,,,,,,,non-cort instructions 3,,,,,,,,,,,,,,,,,,,,,,
1,,chair,doughnut,desk,word2,non-CoRT,,,0,,500,non-cort trial 2,,,,,,,,,,,,,,,,,,,,,,
2,,time,clock,pencil,word1,non-CoRT,,,0,,500,non-cort trial 2,,,,,,,,,,,,,,,,,,,,,,
3,,apple,internet,cherry,word2,non-CoRT,,,0,,500,non-cort trial 2,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,break,# End of Practice. You got $${percent_correct}% correct! You are now going to start the experiment!,,,,,,,,,,,,,,,,,,,,,64