full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur
They|wanted|their|parents|to|come,0.73,block_baldwin,2.0,0.6324555320336759,strong non-CoRT,home,money,6,high cloze,easy,True,False,money,right,0.5,270.0,7
The|committed|scientist|spent|hours|working|in|the,0.88,peele,4.0,0.8164965809277259,strong CoRT,lab,beach,8,high cloze,easy,True,False,beach,right,0.5,0.0,7
At|almost|every|local|bar|Frank|has|a,0.39,peele,2.0,1.0,strong non-CoRT,tab,man,8,low cloze,hard,False,True,tab,right,0.5,375.0,7
The|vacuum's|defects|affected|its|ability|to,0.38,peele,1.0,0.0,strong non-CoRT,clean,year,7,low cloze,hard,False,True,clean,right,0.5,442.5,7
Rachel|missed|her|appointment|after|writing|down|the|wrong,0.36,peele,4.0,1.0,strong CoRT,address,charge,9,low cloze,hard,False,True,address,right,0.5,172.5,7
For|a|runner|Ted|is|rather,0.5,block_baldwin,1.8333333333333333,1.1690451944500122,strong non-CoRT,slow,hook,6,low cloze,hard,True,False,hook,right,0.5,390.0,7
Tom|didn't|like|being|places|with|a|lot|of,0.76,peele,1.6,0.8944271909999159,strong non-CoRT,people,mouse,9,high cloze,easy,False,True,people,right,0.5,262.5,7
Ann|felt|overwhelmed|by|feelings|of|distress|she|couldn't,0.33,peele,4.0,0.8164965809277259,strong CoRT,shake,lettuce,9,low cloze,hard,True,False,lettuce,right,0.5,210.0,7
Spaghetti|is|the|girl's|favorite|type|of,0.49,peele,1.6,0.5477225575051661,strong non-CoRT,food,tang,7,low cloze,hard,True,False,tang,right,0.5,397.5,7
The|peaches|at|the|orchard|are|almost|ready|to,0.71,peele,2.0,1.1547005383792517,strong non-CoRT,pick,debt,9,high cloze,easy,True,False,debt,right,0.5,240.0,7
He|lay|down|and|went|to,0.76,block_baldwin,4.166666666666667,0.7527726527090809,strong CoRT,sleep,shore,6,high cloze,easy,False,True,sleep,right,0.5,7.5,7
"The|toddler|enjoyed|feeding|bread|to|the|fat,|white",0.5,peele,4.5,0.5773502691896257,strong CoRT,duck,lobe,9,low cloze,hard,False,True,duck,right,0.5,225.0,7
Lily|had|disliked|him|from|the|moment|they,0.99,peele,1.75,0.957427107756338,strong non-CoRT,met,curse,8,high cloze,easy,False,True,met,right,0.5,345.0,7
The|baby's|ice|cream|was|snatched|up|by|the,0.47,peele,4.5,0.5773502691896257,strong CoRT,dog,time,9,low cloze,hard,False,True,dog,right,0.5,202.5,7
After|hitting|the|iceberg|the|ship|began|to,0.96,block_baldwin,4.0,1.1547005383792517,strong CoRT,sink,milk,8,high cloze,easy,True,False,milk,right,0.5,67.5,7
The|fisherman|trapped|hundreds|of|sharks|in|their,0.82,peele,4.0,0.8164965809277259,strong CoRT,nets,tire,8,high cloze,easy,False,True,nets,right,0.5,75.0,7
She|preheated|the|oven|and|greased|the,0.9,block_baldwin,4.285714285714286,1.4960264830861911,strong CoRT,pan,sensitive,7,high cloze,easy,False,True,pan,right,0.5,97.5,7
They|believe|the|most|pious|man|is|the,0.38,peele,2.0,1.4142135623730951,strong non-CoRT,pope,woman,8,low cloze,hard,True,False,woman,right,0.5,450.0,7
"After|returning|home,|Sharon|hung|her|jacket|on|the",0.43,peele,4.8,0.44721359549995787,strong CoRT,hook,live,9,low cloze,hard,False,True,hook,right,0.5,217.5,7
Meg|hated|that|cleaning|the|bathroom|was|her,0.47,peele,1.75,0.9574271077563382,strong non-CoRT,chore,do,8,low cloze,hard,False,True,chore,right,0.5,405.0,7
The|captain|steered|the|ship|and|narrowly|avoided|the,0.34,peele,4.75,0.4999999999999999,strong CoRT,iceberg,arm,9,low cloze,hard,False,True,iceberg,right,0.5,127.5,7
Many|women|are|very|conscious|of|their,0.32,peele,1.4,0.5477225575051662,strong non-CoRT,weight,choke,7,low cloze,hard,False,True,weight,right,0.5,465.0,7
The|princess|would|someday|become|a,0.93,block_baldwin,1.4285714285714286,0.7867957924694432,strong non-CoRT,queen,anger,6,high cloze,easy,True,False,anger,right,0.5,330.0,7
The|villagers|had|never|ventured|out|of|the,0.32,peele,1.2,0.4472135954999579,strong non-CoRT,village,fog,8,low cloze,hard,True,False,fog,right,0.5,427.5,7
He|scraped|the|cold|food|from|his,0.85,block_baldwin,4.428571428571429,1.5118578920369088,strong CoRT,plate,tube,7,high cloze,easy,True,False,tube,right,0.5,90.0,7
He|loosened|the|tie|around|his,0.97,block_baldwin,4.428571428571429,1.5118578920369088,strong CoRT,neck,win,6,high cloze,easy,False,True,neck,right,0.5,105.0,7
"When|travelling,|tourists|like|to|carry|items|in|a",0.48,peele,1.75,0.5,strong non-CoRT,bag,chore,9,low cloze,hard,False,True,bag,right,0.5,457.5,7
Frank|read|by|the|fireplace|while|his|grandmother,0.4,peele,4.4,0.8944271909999159,strong CoRT,knitted,reach,8,low cloze,hard,True,False,reach,right,0.5,120.0,7
"When|the|two|met,|one|of|them|held|out|his",0.95,block_baldwin,4.0,1.0,strong CoRT,hand,choke,10,high cloze,easy,False,True,hand,right,0.5,15.0,7
The|child|looked|outside|and|watched|the|flying,0.4,peele,4.0,0.7071067811865476,strong CoRT,birds,cry,8,low cloze,hard,True,False,cry,right,0.5,187.5,7
They|broke|into|the|store|and|began|to,0.42,peele,4.6,0.5477225575051662,strong CoRT,steal,joke,8,low cloze,hard,False,True,steal,right,0.5,142.5,7
Larry's|motto|was|always|do|what|you,0.5,peele,1.25,0.5,strong non-CoRT,want,gone,7,low cloze,hard,True,False,gone,right,0.5,360.0,7
The|big|friendly|dog|wetted|her|face|with|his,0.7,peele,4.5,0.5773502691896257,strong CoRT,tongue,lure,9,high cloze,easy,False,True,tongue,right,0.5,45.0,7
Many|people|will|carry|important|items|in|a,0.37,peele,1.5,1.0,strong non-CoRT,bag,jar,8,low cloze,hard,False,True,bag,right,0.5,412.5,7
Mark's|favorite|spot|to|fish|was|a|pier|by|the,0.34,peele,4.4,0.8944271909999159,strong CoRT,lake,word,10,low cloze,hard,False,True,lake,right,0.5,180.0,7
The|librarian|sternly|told|us|to|be,0.8,block_baldwin,4.0,0.5773502691896257,strong CoRT,quiet,porch,7,high cloze,easy,True,False,porch,right,0.5,37.5,7
Tammy|was|not|a|gambler|because|she|had|bad,0.86,block_baldwin,1.8571428571428568,1.4638501094227998,strong non-CoRT,luck,cut,9,high cloze,easy,False,True,luck,right,0.5,315.0,7
She|graduated|at|the|top|of|her,0.95,block_baldwin,1.5714285714285714,0.7867957924694432,strong non-CoRT,class,shelf,7,high cloze,easy,False,True,class,right,0.5,247.5,7
Chris|said|his|dog|had|always|been|his|best,0.95,peele,1.75,1.5,strong non-CoRT,friend,dosage,9,high cloze,easy,True,False,dosage,right,0.5,307.5,7
There|was|not|room|for|the|triplets|in|the,0.34,peele,2.0,0.8164965809277259,strong non-CoRT,car,train,9,low cloze,hard,False,True,car,right,0.5,435.0,7
The|squirrel|dashed|by|in|order|to|bury|a,0.77,peele,4.75,0.4999999999999999,strong CoRT,nut,home,9,high cloze,easy,True,False,home,right,0.5,30.0,7
The|boss|kept|his|employees|on|a|short,0.93,peele,1.4,0.5477225575051662,strong non-CoRT,leash,sign,8,high cloze,easy,False,True,leash,right,0.5,285.0,7
Courtney|was|so|happy|and|relieved|she|started|to,0.71,peele,4.333333333333333,0.8164965809277259,strong CoRT,cry,choice,9,high cloze,easy,False,True,cry,right,0.5,22.5,7
He|knew|about|the|prank|they|were|trying|to,0.8,peele,1.4,0.5477225575051661,strong non-CoRT,pull,cry,9,high cloze,easy,False,True,pull,right,0.5,292.5,7
The|man|liked|to|play|his|music|too,0.84,block_baldwin,2.0,1.0,strong non-CoRT,loud,joke,8,high cloze,easy,True,False,joke,right,0.5,277.5,7
Helen|removed|the|paint|from|her|face|with|a,0.33,peele,4.8,0.4472135954999579,strong CoRT,cloth,sin,9,low cloze,hard,True,False,sin,right,0.5,150.0,7
His|brand|new|soccer|ball|had|landed|in|the,0.34,peele,4.0,1.7320508075688772,strong CoRT,mud,drip,9,low cloze,hard,False,True,mud,right,0.5,195.0,7
Quinn|was|surprised|that|Mariah|didn't|believe|in,0.43,peele,1.8,0.8366600265340756,strong non-CoRT,god,give,8,low cloze,hard,False,True,god,right,0.5,382.5,7
There|is|no|cold|that|homemade|soup|cannot,0.79,peele,1.8,0.8366600265340756,strong non-CoRT,cure,serve,8,high cloze,easy,False,True,cure,right,0.5,352.5,7
The|princess|was|pulled|onto|the|horse|by|the,0.37,peele,4.4,0.8944271909999159,strong CoRT,prince,dead,9,low cloze,hard,True,False,dead,right,0.5,157.5,7
The|heavy|box|had|both|a|large|volume|and,0.38,peele,1.6,1.3416407864998738,strong non-CoRT,weight,read,9,low cloze,hard,False,True,weight,right,0.5,420.0,7
"To|stay|fit,|Jim|participates|in|a|basketball",0.42,peele,4.2,0.4472135954999579,strong CoRT,game,nest,8,low cloze,hard,False,True,game,right,0.5,232.5,7
It|is|painful|to|have|diseases|like,0.36,peele,1.0,0.0,strong non-CoRT,cancer,car,7,low cloze,hard,False,True,cancer,right,0.5,367.5,7
"Every|weekend,|Michelle|and|her|family|attended",0.85,peele,2.0,1.1547005383792517,strong non-CoRT,church,shower,7,high cloze,easy,False,True,church,right,0.5,255.0,7
She|washed|the|dirty|dishes|in|the,0.92,block_baldwin,4.0,1.4142135623730951,strong CoRT,sink,batch,7,high cloze,easy,False,True,sink,right,0.5,52.5,7
The|boy|won|the|chess|competition|by|using|his,0.36,peele,1.75,0.957427107756338,strong non-CoRT,brain,fence,9,low cloze,hard,False,True,brain,right,0.5,472.5,7
"After|driving|over|sharp|glass,|Ronald|had|a|flat",1.0,peele,4.4,0.8944271909999159,strong CoRT,tire,loan,9,high cloze,easy,False,True,tire,right,0.5,82.5,7
Abby|stuck|his|picture|to|her|wall|with|a,0.46,peele,4.333333333333333,0.5773502691896257,strong CoRT,tack,lab,9,low cloze,hard,False,True,tack,right,0.5,135.0,7
The|landlord|did|not|like|when|the|rent|was,0.8,block_baldwin,2.0,1.4142135623730951,strong non-CoRT,late,pin,9,high cloze,easy,False,True,late,right,0.5,322.5,7
"Everyday|during|recess,|the|children|would|play",0.41,peele,4.0,1.224744871391589,strong CoRT,tag,over,7,low cloze,hard,False,True,tag,right,0.5,165.0,7
"After|washing|his|hands,|Brandon|dried|them|with|a",0.96,peele,4.0,0.8164965809277259,strong CoRT,towel,dam,9,high cloze,easy,False,True,towel,right,0.5,60.0,7
"The|mother|was|against|swearing,|calling|it|a",0.85,peele,2.0,0.8164965809277259,strong non-CoRT,sin,pill,8,high cloze,easy,False,True,sin,right,0.5,337.5,7
"To|avoid|hitting|her|head,|she|had|to",0.85,peele,4.5,0.5773502691896257,strong CoRT,duck,deed,8,high cloze,easy,False,True,duck,right,0.5,112.5,7
Karen|lost|lots|of|money|after|losing|a|foolish,0.97,peele,1.8,0.4472135954999579,strong non-CoRT,bet,mower,9,high cloze,easy,False,True,bet,right,0.5,300.0,7
